key_resp_practice.keys,key_resp_practice.rt,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,stimuli,session,participant,date,expName,psychopyVersion,frameRate,key_resp_trial.keys,key_resp_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
left,0.859,1,0,4,0,1,3,bada1.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,,,,,,,,
left,0.595,1,0,4,1,1,3,bada2.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,,,,,,,,
right,0.494,1,0,4,2,1,3,bada9.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,,,,,,,,
right,0.63,1,0,4,3,1,3,bada10.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,,,,,,,,
,,,,,,,,bada6.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.56,3,0,30,5,1,29
,,,,,,,,bada4.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.445,3,0,30,3,1,29
,,,,,,,,bada5.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.459,3,0,30,4,1,29
,,,,,,,,bada8.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,right,0.512,3,0,30,7,1,29
,,,,,,,,bada2.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.545,3,0,30,1,1,29
,,,,,,,,bada7.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,right,0.629,3,0,30,6,1,29
,,,,,,,,bada1.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.625,3,0,30,0,1,29
,,,,,,,,bada10.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,right,0.614,3,0,30,9,1,29
,,,,,,,,bada9.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.744,3,0,30,8,1,29
,,,,,,,,bada3.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.579,3,0,30,2,1,29
,,,,,,,,bada3.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.479,3,0,30,2,1,29
,,,,,,,,bada5.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.446,3,0,30,4,1,29
,,,,,,,,bada4.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.446,3,0,30,3,1,29
,,,,,,,,bada2.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.495,3,0,30,1,1,29
,,,,,,,,bada10.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,right,0.495,3,0,30,9,1,29
,,,,,,,,bada6.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.812,3,0,30,5,1,29
,,,,,,,,bada7.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,right,0.678,3,0,30,6,1,29
,,,,,,,,bada8.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.68,3,0,30,7,1,29
,,,,,,,,bada9.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,right,0.694,3,0,30,8,1,29
,,,,,,,,bada1.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.646,3,0,30,0,1,29
,,,,,,,,bada7.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,right,0.579,3,0,30,6,1,29
,,,,,,,,bada8.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,right,0.63,3,0,30,7,1,29
,,,,,,,,bada2.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.479,3,0,30,1,1,29
,,,,,,,,bada9.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,right,0.745,3,0,30,8,1,29
,,,,,,,,bada10.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,right,0.729,3,0,30,9,1,29
,,,,,,,,bada3.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.795,3,0,30,2,1,29
,,,,,,,,bada1.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.51,3,0,30,0,1,29
,,,,,,,,bada5.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.496,3,0,30,4,1,29
,,,,,,,,bada4.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.529,3,0,30,3,1,29
,,,,,,,,bada6.wav,001,LFA,2019-02-14_09h58.44.858,2afc_template,3.0.3,60,left,0.512,3,0,30,5,1,29
